seed,variant,latent_dim,window_size,AUC-ROC,AUC-PR,R-AUC-ROC,R-AUC-PR,VUS-ROC,VUS-PR
2026,cd,16,16,0.8463898039215686,0.5722628071792183,0.8304978815756473,0.5564153866165475,0.8582024887467046,0.5758294079968573
2026,cd,16,32,0.6299420870658494,0.23232833304395412,0.6546920552222923,0.259278999670552,0.6576191301466854,0.24331672743532065
2026,cd,16,64,0.565380245167374,0.18500669581318602,0.6037158615227437,0.21672254280722542,0.597900520167572,0.19866954794519387
2026,cd,16,128,0.5425986170045576,0.17112003892670752,0.5869011621118031,0.2010853438300923,0.5779934149446734,0.18630293425497851
2026,cd,32,16,0.9986861960784315,0.9945329465134432,0.9775111988349791,0.9493319201297483,0.9995279894870291,0.9972109141403224
2026,cd,32,32,0.8913511708313688,0.6873124372323003,0.8812034327334601,0.6738805294907189,0.905382684791571,0.695856465780902
2026,cd,32,64,0.6357556969982713,0.2375438113672129,0.6586338983125051,0.26502099716018723,0.6608959376583454,0.2482649841484585
2026,cd,32,128,0.5740678139242495,0.18848560853115415,0.6113435248672647,0.2154554249815675,0.6081766646957765,0.20360381352486798
2026,cd,64,16,0.9992683921568628,0.9969755547340525,0.9763841720029142,0.9499837358683696,0.999756898965295,0.9984343013304693
2026,cd,64,32,0.9760423542354235,0.924077629076432,0.9654316088062828,0.8987524015695725,0.9834554405208494,0.9349177028503877
2026,cd,64,64,0.9010385824296715,0.7421565576574599,0.8894635158108668,0.7196966269916291,0.91476687887124,0.750041458209579
2026,cd,64,128,0.6476848184818482,0.2497867420492202,0.6705470367041949,0.26782559230288944,0.6760800505260383,0.26169832727731684
2026,cd,128,16,0.9997552941176471,0.998604981365235,0.9781043687319527,0.9525983823430957,0.9999643690364054,0.9996890278468799
2026,cd,128,32,0.9692031274556028,0.9004498534041583,0.9548967553641929,0.8684363419650114,0.9766711450898032,0.907366568935069
2026,cd,128,64,0.9830044790193305,0.9556068355763927,0.9806236634858039,0.9452468719508651,0.9926505000149414,0.9724301565154427
2026,cd,128,128,0.8603943894389439,0.6640898884417774,0.8594339553122247,0.6544625922436014,0.8789964058053565,0.6749007925738565
2042,cd,16,16,0.8452059607843138,0.5536854515338911,0.8381738008499652,0.5512583242658116,0.8611198454773193,0.5628986992440438
2042,cd,16,32,0.6265596416784536,0.22276233075142635,0.6581901515967852,0.25757648279746653,0.6567848876774315,0.23824130788713183
2042,cd,16,64,0.5668737230865943,0.1792004774628855,0.6098713511142106,0.21620274818291893,0.6021624153843608,0.19653127915809
2042,cd,16,128,0.5413545104510451,0.16544514925709783,0.5869718205476712,0.1991527992905338,0.5783647904145989,0.18238806864689855
2042,cd,32,16,0.9972244705882353,0.9909190628049168,0.9800044301430877,0.9523977034550989,0.9993631065621171,0.9965800670387382
2042,cd,32,32,0.8880463617790351,0.6979336479239773,0.8910868409454716,0.6930733006990117,0.9067562387480519,0.710947835143286
2042,cd,32,64,0.6393474776049034,0.23379672385637024,0.6678925238780424,0.2659459801755457,0.6684996096807584,0.2480038764534428
2042,cd,32,128,0.576094609460946,0.18287094027614764,0.6102351241945997,0.21360577685481583,0.6079612175838517,0.19753394566677426
2042,cd,64,16,0.9988455686274511,0.9952882990066332,0.9780750572794029,0.9523713496373827,0.999732717816838,0.9983381348852998
2042,cd,64,32,0.9705588558855885,0.9077477563682081,0.961611999310479,0.881111594681454,0.9787289828843097,0.9167226461645525
2042,cd,64,64,0.9184414584315574,0.771018704025377,0.9191080028564971,0.7603276663396326,0.9363956073132507,0.7851271672914646
2042,cd,64,128,0.6456748389124627,0.24088778255401197,0.6665500330204,0.2667856399430168,0.6726814396490951,0.2524739350808691
2042,cd,128,16,0.9982983529411765,0.9941388776542558,0.9805242570818045,0.9548442348841417,0.9996721186911566,0.9980590303439929
2042,cd,128,32,0.9425095080936665,0.8537736590692109,0.9440780118079589,0.8415125393034085,0.9576671302799781,0.868697755728901
2042,cd,128,64,0.9819504164702184,0.9523745055007486,0.9799585832335166,0.9401514296957165,0.9919035708972547,0.9676822666949112
2042,cd,128,128,0.8471848577714916,0.6341011591706793,0.8438061246715245,0.6227224671986722,0.8654158489888842,0.6436419779678793
2067,cd,16,16,0.8199806274509803,0.43020400734355574,0.8210194288681232,0.44820118192013725,0.8366699494445162,0.4438050186846678
2067,cd,16,32,0.6050113154172561,0.19261190701268122,0.6432671010364888,0.22736889232172394,0.6366350668541713,0.20950000061792773
2067,cd,16,64,0.5538616218764734,0.1660747261173861,0.5959185712538001,0.1994341388602485,0.5865670351451459,0.18207322973742315
2067,cd,16,128,0.5326983341191263,0.15733224590317285,0.581910448249247,0.19249686920352727,0.5690088901128754,0.1740228894944437
2067,cd,32,16,0.9979457254901961,0.9922054381193811,0.9813304132589545,0.9542133770519519,0.9992874985791079,0.9960127365334518
2067,cd,32,32,0.8587660694640894,0.5579736967107503,0.8659004708015726,0.5781433201937072,0.8768198378597392,0.571185088111355
2067,cd,32,64,0.6147989548954895,0.19757597275322553,0.650476883351217,0.23136948572029492,0.6454245530585,0.2142602489420941
2067,cd,32,128,0.5634314788621719,0.16942831541615633,0.6054014014050608,0.2033008664415068,0.596618449970342,0.18538116395922505
2067,cd,64,16,0.9954767843137253,0.9889848403076257,0.977786263573241,0.950231708314137,0.9988756481584854,0.9949156668622438
2067,cd,64,32,0.9534951673738802,0.8728741805278182,0.9359599763929356,0.8399807795746491,0.9636995415211937,0.8819140187653973
2067,cd,64,64,0.8903180103724659,0.7305486988643841,0.9000976903356175,0.7291847563380767,0.914043813715508,0.7471560173607655
2067,cd,64,128,0.6211756639949709,0.1989200012762238,0.6561216540965932,0.23701789347524516,0.6521424978908582,0.2163719577444528
2067,cd,128,16,0.9983338039215686,0.9925521159311959,0.9789854920563679,0.9502803681725964,0.9989377728626786,0.9941096467456807
2067,cd,128,32,0.8751964875058934,0.6735352551574383,0.8541146037157655,0.6454103433234972,0.8865162039266306,0.6770684139254454
2067,cd,128,64,0.9764359578815024,0.9410262192444748,0.9782136501797158,0.9335156338046463,0.9890819801577009,0.9591559267167846
2067,cd,128,128,0.8494295143800095,0.6055024612502982,0.849663957450526,0.6060490639053895,0.8675090013187083,0.6183587231954722
