seed,latent_dim,window_size,scored_points,AUC-ROC,AUC-PR,R-AUC-ROC,R-AUC-PR,VUS-ROC,VUS-PR
2026,16,16,10000,0.934101882352941,0.6420986554410653,0.9174660832962461,0.6430875156030539,0.9406718081707062,0.6596458360781942
2026,16,32,9984,0.759782531824611,0.25293871888927494,0.7723705540579847,0.28903367376526223,0.7808592339894598,0.2753347370526846
2026,16,64,9984,0.6911239195348107,0.20746810270200333,0.7419821730208419,0.2703847382697385,0.7295290490503502,0.2441334395072272
2026,16,128,9984,0.7184283356907119,0.23423286311396907,0.7941833261867356,0.3506193701851126,0.7657924341515845,0.29795402043195457
2026,32,16,10000,0.9660252549019608,0.7918654158911196,0.946519637572776,0.7770006608544389,0.9695505926386461,0.8062433305309601
2026,32,32,9984,0.8316708313688512,0.33848979742127705,0.8388342221432394,0.37843363681477415,0.8489297771042928,0.36787424893105597
2026,32,64,9984,0.7320425899732831,0.2371017091766615,0.7766946431832379,0.3090339463246547,0.7676096626313758,0.2819220285007425
2026,32,128,9984,0.7433195033789093,0.2594609127575027,0.8202360624787506,0.41809806673794125,0.7909369676308684,0.34328041749159754
2026,64,16,10000,0.9844704313725489,0.8918723162772796,0.9623093604657881,0.865504132951848,0.9863415904107904,0.903818209551014
2026,64,32,9984,0.9163365157944366,0.533244668341546,0.9127350430340125,0.5699607027630913,0.9265230359193651,0.5664004802583062
2026,64,64,9984,0.79691984912777,0.30514349256846157,0.8377929082256338,0.41586241770946886,0.8291653154831116,0.3787024799805612
2026,64,128,9984,0.8099275106082037,0.3366406098978394,0.8774178160924611,0.5605976878943542,0.8518911805977442,0.45346882621906165
2026,128,16,10000,0.9796385882352941,0.8576752375649375,0.9581259524401574,0.8366456152212494,0.9823431979711746,0.8730578104762264
2026,128,32,9984,0.9569115197234009,0.7114968698374735,0.9472658868959234,0.7316591238491318,0.9632868758421879,0.743280344512901
2026,128,64,9984,0.8482567971082823,0.3791326936098326,0.8827080058012059,0.5275692752883264,0.8760800317090315,0.47716656977451827
2026,128,128,9984,0.8574562313374194,0.40222175028549445,0.9147271473132506,0.6571424894328376,0.8926231384638736,0.5374924796763432
2042,16,16,10000,0.7561902745098039,0.369110854892892,0.7718434215954794,0.39685563663107476,0.7822058152188979,0.3895887293627795
2042,16,32,9984,0.6192380952380953,0.18399336333719718,0.6637574479959973,0.22256475102235262,0.6571918520060155,0.20535552678441682
2042,16,64,9984,0.592320878516423,0.171926890627755,0.6524210769162436,0.21662457813967614,0.636392131844473,0.19613851559385403
2042,16,128,9984,0.610602624548169,0.18152203327274552,0.6820856943886933,0.2382349667795864,0.6585682511427335,0.21201575372339646
2042,32,16,10000,0.7954433333333333,0.4267007870650262,0.8063906105295743,0.43972474107904425,0.8188929622680292,0.4435320492246256
2042,32,32,9984,0.6825654565456546,0.23521274924854674,0.7227489868985923,0.27926053469874995,0.7192165502117615,0.25966120232771733
2042,32,64,9984,0.6135381502435959,0.18221433055730507,0.6713830706128932,0.22929464516324172,0.6567671716917131,0.20830176149969676
2042,32,128,9984,0.6405766933836241,0.20187610713052712,0.7077865609272118,0.2675607362880078,0.6868145063257258,0.23933114650739548
2042,64,16,10000,0.8039110196078432,0.4577427098648207,0.8059101285112299,0.4701749023726555,0.8231765091885268,0.47126507182488747
2042,64,32,9984,0.7410365393682224,0.31314118300561045,0.7712490034371992,0.35205978856691106,0.7743472320775343,0.34287888541501904
2042,64,64,9984,0.6641902797422599,0.21109608213596173,0.7171853939011928,0.2681550885716923,0.7049139683533169,0.24242872723342285
2042,64,128,9984,0.6852788778877887,0.23350201811452762,0.7552669348387397,0.3269262412858661,0.7321792803702353,0.2847592684220232
2042,128,16,10000,0.8122141176470588,0.46996415527789903,0.8213159117015716,0.4924035794652011,0.8342057819313144,0.48842906826922877
2042,128,32,9984,0.7782782099638536,0.3877736384040246,0.8047493612874079,0.433118641268972,0.8094891401837228,0.42100003250585166
2042,128,64,9984,0.7108884567028132,0.24962800398060234,0.7617446995603326,0.31984827382546016,0.7515956235275278,0.29178290413228203
2042,128,128,9984,0.7224969746974698,0.2749536740410171,0.7992761898102676,0.4082908296828569,0.7729084747618662,0.34936857920209125
2067,16,16,10000,0.8564939999999999,0.4870718519237902,0.8648464430393297,0.5131734766422344,0.8778497411398611,0.5127680229449193
2067,16,32,9984,0.6767762061920477,0.20397745278765061,0.7178343716604056,0.2464875150467648,0.7102510600219062,0.2255658299199875
2067,16,64,9984,0.638850227879931,0.18155386796361236,0.6972571667707324,0.234617834165277,0.6801414485841345,0.20941497228328496
2067,16,128,9984,0.6551288700298601,0.19280834095819074,0.7279517402090913,0.2654874203860317,0.7020251448492884,0.23062971481435926
2067,32,16,10000,0.8882410588235293,0.576758509001008,0.8935755204700526,0.5961897809880032,0.9097380772626608,0.6047364632024277
2067,32,32,9984,0.7653858635863587,0.27523179875855,0.7855153496516553,0.31668092821475513,0.7908091845563187,0.29946820832169146
2067,32,64,9984,0.6608477133427628,0.19416916706910162,0.7189261806834596,0.2541698339462671,0.7024452222584991,0.22574551905470852
2067,32,128,9984,0.6830004321860759,0.21584049373763947,0.7593718768149178,0.32037850746414737,0.7316878801837265,0.26804100260922936
2067,64,16,10000,0.9283187450980394,0.7372964382884074,0.9245503466543377,0.7438015431144624,0.9440423084347922,0.7599337598241217
2067,64,32,9984,0.8484874273141599,0.45832042365617354,0.865250488401457,0.5024115414965741,0.8745391816738132,0.4964214979275998
2067,64,64,9984,0.6994282571114254,0.22125402541867178,0.75599901534497,0.2990885859152382,0.7421259430087613,0.26447767313454973
2067,64,128,9984,0.7248928964325003,0.2573889391806003,0.8008554361006226,0.39973079151275437,0.772592198460511,0.33157527482858273
2067,128,16,10000,0.9308882352941178,0.745528541364687,0.919489256011312,0.7413362970283998,0.9431841141351728,0.7624738829836885
2067,128,32,9984,0.8962706270627062,0.6062125902300448,0.9043036833057856,0.6500821068451261,0.9178862516446746,0.6492238255554351
2067,128,64,9984,0.7644716721672167,0.280195070932422,0.8129003515998006,0.3886949024318786,0.8022776684955284,0.3445934723207674
2067,128,128,9984,0.7763644900204306,0.31413533117338466,0.8508560766281446,0.49827421090906143,0.8233616202050573,0.41033382115952516
