seed,variant,latent_dim,window_size,AUC-ROC,AUC-PR,R-AUC-ROC,R-AUC-PR,VUS-ROC,VUS-PR
2026,cd,16,16,0.6504267058823529,0.26513379325106884,0.6878413294216655,0.2948370191992283,0.686185516308661,0.27938706659780577
2026,cd,16,32,0.5418957252868144,0.21699122401157178,0.5946217031290996,0.24881699013853104,0.5829508027947574,0.23163284468590778
2026,cd,16,64,0.5249903740374038,0.21456710552013336,0.583033288628748,0.24667103724200667,0.5684813783596595,0.22924730166835613
2026,cd,16,128,0.5361850149300644,0.21544270715418762,0.5933822345103088,0.24821935787641558,0.5797101693881502,0.23095423316342417
2026,cd,32,16,0.6446663529411766,0.25368018776394163,0.6820916859651556,0.285157597444493,0.6803089585948289,0.2686283913592505
2026,cd,32,32,0.5332479962281942,0.2157060221250143,0.5892587237460435,0.24809157880748592,0.5757393556797277,0.23079407362551643
2026,cd,32,64,0.5334673895961024,0.21293674289067754,0.588253620361847,0.24474206200706464,0.5749798634126678,0.22721948124857205
2026,cd,32,128,0.5378815417256011,0.2165545642108717,0.5914163029222543,0.2484082070688053,0.5787807776198436,0.231313271771139
2026,cd,64,16,0.6317739215686273,0.24691136166535332,0.6725437958206806,0.2785065282888678,0.6684090383554884,0.2616159795262749
2026,cd,64,32,0.5343879066478077,0.21474757409369272,0.5907555341634353,0.2486685976552263,0.5757843129897692,0.23108812062646508
2026,cd,64,64,0.5326574728901462,0.21283655474292096,0.5865568030900639,0.2444231233671303,0.5742035648422829,0.22732901877745718
2026,cd,64,128,0.540232398239824,0.21466712890237327,0.592896994205331,0.24567073390751737,0.5811393040661786,0.22849800517155847
2026,cd,128,16,0.6323306666666667,0.24191751502909858,0.6726812118227923,0.27320318222073536,0.6685006234043115,0.25593382209408694
2026,cd,128,32,0.5284293965110796,0.21403671999395418,0.5850058775126904,0.24602654797200627,0.5701901188788834,0.22852287743918515
2026,cd,128,64,0.5363788700298602,0.21462470465006112,0.5869597737086408,0.24648205888553745,0.5765781590088076,0.2293464730486578
2026,cd,128,128,0.5343740766933837,0.21363508392752856,0.5914193077571644,0.24592596174923,0.5759172910168382,0.22796044823742057
2042,cd,16,16,0.6004614509803923,0.2247685137371998,0.647232342252129,0.26523109338838546,0.6400255929870642,0.24459136756559863
2042,cd,16,32,0.5341741709885275,0.21458680754476642,0.5932637138960677,0.25187539327784114,0.5780551886325421,0.2319165835890218
2042,cd,16,64,0.5237954188275971,0.20961972311565674,0.5872456675966342,0.24880040490461275,0.5693068466554447,0.22766157487646999
2042,cd,16,128,0.5291369244067263,0.21169499469887504,0.5874263695707026,0.2511002527047867,0.5717883174383112,0.22942711302461238
2042,cd,32,16,0.6060862352941176,0.23214292728905622,0.6544941175203708,0.2730124926765667,0.6464726644482275,0.25174018532812786
2042,cd,32,32,0.537907747917649,0.20979722019340452,0.5958757771137722,0.25060716766315705,0.5807625199600807,0.22957086086755085
2042,cd,32,64,0.5235593666509508,0.2082881217595281,0.5823295786653754,0.24811394977247567,0.5674956067690828,0.22738198493802075
2042,cd,32,128,0.5414999607103568,0.21057469894591113,0.5996551397185531,0.25088243723484427,0.5844567690744525,0.22919201345724813
2042,cd,64,16,0.6151469019607844,0.23507835834216456,0.6627333021882884,0.27556328754052956,0.6552487765184575,0.25440211654761596
2042,cd,64,32,0.528659005186233,0.20762532241577775,0.5887566623835476,0.24720787742899614,0.5730047023847009,0.22660362557269575
2042,cd,64,64,0.5251267483891247,0.2057132957097167,0.5887297874148351,0.24607667239474557,0.5706463366643899,0.22486418471958128
2042,cd,64,128,0.5373323903818954,0.21152122938324058,0.5963932700375634,0.2518425576431794,0.5806201866812082,0.23024330765161696
2042,cd,128,16,0.6143379215686274,0.23291059389683466,0.6610005651644656,0.2737720940077106,0.6541133816044482,0.25241616941408135
2042,cd,128,32,0.5272428885745718,0.2089018181035599,0.5869859541324676,0.24854278009717434,0.5712044005858375,0.22731954185598938
2042,cd,128,64,0.5287443815810152,0.20739661057081826,0.5915984110169618,0.24761992737607985,0.5733977473919353,0.22622723762478927
2042,cd,128,128,0.535245913877102,0.21168494623545409,0.5949570945262918,0.25120517649521207,0.5788931726814538,0.23053284330653556
2067,cd,16,16,0.5981048235294119,0.19772928128329254,0.6495488788828933,0.23603260150052763,0.6375669165237895,0.2167456152441197
2067,cd,16,32,0.5376254911205406,0.1790564475589555,0.6006840973106541,0.21715467222465415,0.5814135531818084,0.19779369625445434
2067,cd,16,64,0.5416759390224737,0.17822203175724263,0.6021693121025234,0.2153500723209883,0.5832880020599035,0.19573826165172756
2067,cd,16,128,0.5382989548954895,0.18052164579948948,0.6004356374829735,0.2169289551845527,0.5807445955942226,0.1974156727224945
2067,cd,32,16,0.607973568627451,0.20314438610288782,0.66010321077427,0.2415881993030243,0.647706565884437,0.22212853908464059
2067,cd,32,32,0.5375794829482948,0.18119411687828202,0.6010246548613635,0.2235205362697933,0.5801094882377689,0.19898832365262362
2067,cd,32,64,0.5363706977840641,0.17759467400615647,0.5997697598745073,0.22036075825373183,0.5787826873647206,0.19564000410239848
2067,cd,32,128,0.5390429828697155,0.1807681178836433,0.6006690025864241,0.2226360037070294,0.5805391441767453,0.19827439110417053
2067,cd,64,16,0.596762431372549,0.1956045554104258,0.6478615825605721,0.23712091305860034,0.6355643717314842,0.21373232761529234
2067,cd,64,32,0.5352591937765205,0.1792143586229153,0.5992139937687263,0.22112609868913946,0.5779144660243535,0.19684205598807708
2067,cd,64,64,0.5336483576929122,0.1777009457741226,0.5948218323596319,0.21855735333352455,0.5755735250080201,0.19511099524241693
2067,cd,64,128,0.5419132091780606,0.1795488882016871,0.6046651976647641,0.22138883101053677,0.5843556925021226,0.1970763526087548
2067,cd,128,16,0.5929227843137255,0.19435572047238453,0.6454697704090933,0.23245040929383726,0.6322142313114649,0.2131115057254413
2067,cd,128,32,0.5359537560898947,0.17831876822415238,0.6007678149367942,0.21664115433058823,0.578469155353852,0.19603204674999286
2067,cd,128,64,0.5366307166430928,0.17926085086880372,0.5982512138548579,0.2207960300393042,0.5779134075548301,0.19655225706675217
2067,cd,128,128,0.5385927628477133,0.17788570110081484,0.6037418099723292,0.2210687726334984,0.5817948677125895,0.19607971861042323
