seed,variant,latent_dim,window_size,AUC-ROC,AUC-PR,R-AUC-ROC,R-AUC-PR,VUS-ROC,VUS-PR
2026,ci,16,16,0.5025145098039215,0.15158854674202815,0.5570038301117158,0.18356954988241397,0.5419821478388528,0.16713484432325806
2026,ci,16,32,0.5034234637749491,0.15328022354407997,0.5590449827692748,0.1874534042799872,0.5436192287586524,0.1692980971975927
2026,ci,16,64,0.4949298286971554,0.15324068485395992,0.552467862009103,0.1871993253297447,0.53572088322117,0.16881061167598027
2026,ci,16,128,0.5132079207920792,0.15885915768452194,0.5661760622449573,0.1904789945477024,0.5523128637576346,0.17527338902788048
2026,ci,32,16,0.5032240784313725,0.1566211745561348,0.5584728814720991,0.18890825924945195,0.5432281524710614,0.17294419892379567
2026,ci,32,32,0.5288743517208863,0.16138740921104108,0.5933928910374084,0.20320505589174392,0.5745381961706916,0.1840628853159987
2026,ci,32,64,0.4987270155586987,0.14940902244993554,0.55937166718103,0.1812643250427983,0.5404837097148656,0.16513772222032694
2026,ci,32,128,0.5178045733144743,0.15735855335720914,0.5793803608208942,0.19242720212127062,0.5608861092890375,0.17538750002630532
2026,ci,64,16,0.49606796078431364,0.15080984251587076,0.5477504900588337,0.18136749328406057,0.5357722540289327,0.16709975143453606
2026,ci,64,32,0.5098326261197549,0.16176911030899468,0.5646263026177085,0.19780600188560166,0.5507290015343597,0.18097188141011925
2026,ci,64,64,0.5277267012415527,0.16342504071685665,0.5729516771118289,0.19275405536034296,0.5645592523428199,0.17897097998850048
2026,ci,64,128,0.5242294122269371,0.15714064656875643,0.5822167957887778,0.19020690902515605,0.5643960122187124,0.1730671037122915
2026,ci,128,16,0.49372290196078433,0.1512082353103107,0.5418931731599963,0.18013846716838192,0.5305325220179715,0.16549571646688813
2026,ci,128,32,0.4986773927392739,0.14838633139976246,0.5549641806193303,0.1831435452545031,0.5397981618742197,0.1663146091316051
2026,ci,128,64,0.4923650793650794,0.1494480490833528,0.5483416077945611,0.18230064067031332,0.5334345501157376,0.16632409020090533
2026,ci,128,128,0.4979947351878045,0.15188629665044795,0.5527162632391803,0.18632808447325816,0.536412960866699,0.16630866202242658
2042,ci,16,16,0.5071719607843137,0.149193954290084,0.5665275817772472,0.18551783974070302,0.5479980781704028,0.16595449870838594
2042,ci,16,32,0.5190890303316046,0.15639615930318584,0.5736375658127334,0.19056342757081113,0.5595584485081119,0.17364470381110358
2042,ci,16,64,0.5111986484362722,0.1555311267537295,0.5735230492472544,0.191199343013369,0.554718400567593,0.17424227008588153
2042,ci,16,128,0.5137920399182776,0.15521732297344193,0.5720193308123898,0.19189021225600145,0.5556097421450316,0.17257870698943448
2042,ci,32,16,0.5099673725490196,0.15431732486453228,0.5671891849531836,0.18843695209541636,0.5516591266879173,0.17130195143430896
2042,ci,32,32,0.48119240138299546,0.14302575779668525,0.5415668230126269,0.1765884652202858,0.5227943209445196,0.15874461751600807
2042,ci,32,64,0.515976897689769,0.1555875713217142,0.5773324122935566,0.19142707155475056,0.5591253182404069,0.1735801285369359
2042,ci,32,128,0.5213432343234323,0.15607359097965012,0.579852489345199,0.1908513406718044,0.5633196145567825,0.17418940971315353
2042,ci,64,16,0.49137968627450984,0.1526211387823281,0.5483403342315979,0.18565912364998804,0.5322772719662824,0.16923379582294404
2042,ci,64,32,0.4819235423542354,0.14511949168277627,0.5480316004627229,0.1830381344566135,0.5269907810205056,0.16427484588026559
2042,ci,64,64,0.494587694483734,0.14743045330106241,0.5503930057956792,0.18019931095691322,0.5350015755012826,0.1634661025991443
2042,ci,64,128,0.524431321703599,0.15694873506459464,0.5847047291080447,0.1915867655286277,0.5671632479845079,0.1750410570553838
2042,ci,128,16,0.48850674509803926,0.1515306475935647,0.5398748170732007,0.18425253896803973,0.5288143197334811,0.16774968131314208
